file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,120,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,19
style.css,121,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,122,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,123,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,10
style.css,124,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,20
style.css,125,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,18
style.css,126,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,127,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,128,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,9
style.css,129,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,25
style.css,130,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,25
style.css,131,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,132,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,133,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,134,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,6
style.css,135,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,16
style.css,136,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,137,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,138,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,3
style.css,139,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
style.css,140,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,11
style.css,141,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,13
style.css,142,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,15
style.css,143,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,16
style.css,144,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,145,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,0
style.css,146,css,bb5838f3,aarshiagupta,2025-04-11,20:15:24,-07:00,2025-04-11T20:15:24-07:00,0,5
style.css,147,css,38ced93a,aarshiagupta,2025-04-11,20:18:13,-07:00,2025-04-11T20:18:13-07:00,1,13
